Country,State,City/ District,Destination,Type,Tags,Description,Image Link 1,Image Link 2,Image Link 3,Image Link 4
India,Mizoram,Aizawl,Quarter Guard Aizawl,Heritage,"Sightseeing, Heritage",A heritage site for Assam Rifles built by Lt Col GH Loch in the late 1890s. Features 18th century cannons facing the city of Aizawl.,https://mizoramtourism.com/post_images/62ade38208fd1_Quarter Guard Aizawl.jpg,,,
India,Mizoram,Aizawl,Sikul Sen Aizawl,Heritage,Heritage,Built by Zosap Missionary Pu Zosaphluia in 1898. Originally a Mission School. Recently handed over to Mizoram Synod after 68 years.,https://mizoramtourism.com/post_images/62b86847e581a_Boys ME School.jpg,,,
India,Mizoram,Aizawl,Khawhpawp,Waterfall,"Adventure, Nature",A small waterfall in Aizawl one of the natural treasures the region offers. Its scenic beauty attracts visitors seeking a weekend getaway.,https://mizoramtourism.com/post_images/62addcb8029f6_Khawhpawp, Amah Duhtea, Liker-8.jpg,,,
India,Mizoram,Aizawl,Aizawl Zoological Park,Wildlife,"Sightseeing, Wildlife",Located in Lungverh on the outskirts of Aizawl City maintained by the State Forest Department.,https://mizoramtourism.com/post_images/62b86bc36d8c2_Aizawl Zoo.jpg,,,
India,Mizoram,Aizawl,Folkland Park Aizawl,Park,"Adventure, Park",A recreational entertainment facility designed as a safe open space for friends and family.,https://mizoramtourism.com/post_images/62addd0da6b9e_Folkland Park.jpg,,,
India,Mizoram,Aizawl,Bangla Pui,Heritage,"Heritage, Religion",A historic religious structure maintained by Mizoram Synod in Mission Veng Aizawl. Built by missionaries during the 1890s now serves as the Synod Moderator residence.,https://mizoramtourism.com/post_images/626bbcc1b265a_Bangla Pui.jpg,,,
India,Mizoram,Aizawl,Lungleng Lal In,Heritage,"Heritage, Holiday",A century-old residence of Mizo Chief Khamliana Sailo at Lungleng village. Built in 1918 it was the first house in Mizoram with a tin roof. Located 30 km from Aizawl.,https://mizoramtourism.com/post_images/626bbb00ac2e8_Lungleng Lal In.jpg,https://mizoramtourism.com/post_images/62b869c2119ed_Lungleng Lalin.jpg,,
India,Mizoram,Aizawl,Hlimen Park,Park,"Sightseeing, Adventure, Nature",A nature-focused recreational destination offering canopy walks and forest experiences. Located 15 minutes from Aizawl City with birdwatching opportunities.,https://mizoramtourism.com/post_images/62ade53b5ba1a_Hlimen Park.jpg,,,
India,Mizoram,Aizawl,LAD Muthi Park,Park,"Hiking, Sightseeing",One of the best parks in Aizawl situated in Muthi village approximately 15 minutes drive from the city. Excellent for family outings.,https://mizoramtourism.com/post_images/62b86e8ecb48e_Muthi Park.jpg,,,
India,Mizoram,Aizawl,Zawlpala Thlantlang Phulpui,Viewpoint,"Nature, Adventure",A trekking destination offering early morning hikes with opportunities to witness sunrise and morning mists.,https://mizoramtourism.com/post_images/62adde53d6957_DAVE1590.jpg,,,
India,Mizoram,Aizawl,Sailam,Wildlife,"Nature, Bird watching",A bird-watching hotspot nestled in virgin forest approximately 76 km from Aizawl with diverse avian species.,https://mizoramtourism.com/post_images/62b89bf767f54_Sailam New.jpg,https://mizoramtourism.com/post_images/62b89bfecdf2e_Sailam.jpg,,
India,Mizoram,Aizawl,Ting Dil,Lake,"Nature, Lake",An artificial lake at North Tinghmun in Aizawl District. Offers boating and accommodation managed by the Ting Dil Cooperative Society.,https://mizoramtourism.com/post_images/62b886d031c75_Ting Dil.jpg,,,
India,Mizoram,Aizawl,Li Cheng,Nature,"Adventure, Nature",Rolling hills extending across hundreds of miles featuring lush green forests bamboo groves paddy fields wildlife dramatic cliffs and serene lakes.,https://mizoramtourism.com/post_images/62b888e8437e1_Li Cheng.jpg,,,
India,Mizoram,Aizawl,Sakawrhmuituai Hills,Nature,"Nature, Hiking",A spectacular mountain destination with breathtaking views from the summit. Known as a hiking destination suitable for outdoor enthusiasts.,https://mizoramtourism.com/post_images/62ade85c4fc9e_Sakawrhmuituai Tlang.jpg,,,
India,Mizoram,Aizawl,Siaksuk Tlang,Nature,"Hiking, Nature",A one-day camping experience across four Aizawl district villages. Includes nature walks through unexplored forests tree houses hanging bridges and sunset views.,https://mizoramtourism.com/post_images/62b8828e333cf_Sialsuk Tlang.jpg,https://mizoramtourism.com/post_images/62b8828e4b284_Sialsuk Tlang1.jpg,,
India,Mizoram,Aizawl,Khawhthla Sang Falls,Waterfall,"Adventure, Waterfall",A waterfall approximately 11.1 km from Aizawl city featuring natural cascading water formations.,https://mizoramtourism.com/post_images/626baa471de61_WhatsApp Image 2022-04-29 at 11.46.00 AM (1).jpeg,,,
India,Mizoram,Aizawl,Tuirivang,Waterfall,"Waterfall, Adventure",A breathtaking waterfall near Phulpui that captivates visitors with its exceptional natural display.,https://mizoramtourism.com/post_images/62b95804928e4_Tuirivang Falls.jpg,,,
India,Mizoram,Aizawl,Sibuta Lung,Heritage,"Sightseeing, Heritage",A memorial stone at Tachhip village 20 km from Aizawl. Erected by a Palian chief approximately 300 years ago.,https://mizoramtourism.com/post_images/62b958cb87139_Sibuta Lung.jpg,,,
India,Mizoram,Aizawl,Thiak Bungalow,Heritage,"Heritage, Sightseeing",An inspection bungalow constructed during the British colonial period in the then Lushai Hills now Mizoram.,https://mizoramtourism.com/post_images/62b95968baa9d_Thiak Bangla.jpg,,,
India,Mizoram,Aizawl,Nghachhawl Lungpui,Waterfall,"Hiking, Adventure, Waterfall",A scenic waterfall at Tuirial River in Muallungthu approximately 35 km from Aizawl.,https://mizoramtourism.com/post_images/62b95aca8ac5d_Nghachhawl Muallungthu.jpg,,,
India,Mizoram,Aizawl,Hualngo Lui Kurung,Waterfall,"Nature, Adventure, Waterfall",A waterfall in Hualngohmun village approximately 25 km from Aizawl at 980 meters altitude.,https://mizoramtourism.com/post_images/62b95b30bfee9_Hualngo Lui Kurung.jpg,,,
India,Mizoram,Aizawl,Vaipuanpho Ailawng,Nature,"Sightseeing, Nature, Vacation",A scenic natural destination 45 minutes from Aizawl ideal for escaping urban life. Includes visits to Reiek Tlang hilltop.,https://mizoramtourism.com/post_images/62b9608bb029f_Vaipuanpho.jpg,,,
India,Mizoram,Aizawl,H and B Water Park,Park,"Adventure, Park",An aquatic entertainment venue in Aizawl featuring water rides rejuvenating pools and a kids zone set against scenic landscapes.,https://mizoramtourism.com/post_images/688c950d8ed53_44444444444444.jpg,https://mizoramtourism.com/post_images/688c950db0b38_3333333333333333333.jpg,https://mizoramtourism.com/post_images/688c95c35c729_1111.jpg,https://mizoramtourism.com/post_images/688c95cf121a4_22222222222222.jpg
India,Mizoram,Lunglei,Tuirum Li - Nghasih Lui,Waterfall,"Nature, Adventure, Photography","Tuirum Li over Nghasih Lui is an adventure destination showcasing nature's beauty. Described as 'one of the rarest travel experiences, toughest and the dearest,' it offers intimate encounters with natural landscapes and represents a challenging journey worth experiencing.",https://mizoramtourism.com/post_images/62ade5cd5c752_Tuirum Li.jpg,,,
India,Mizoram,Lunglei,Missionary Kai Tlabung,Heritage,"Heritage, Religion","The place where first Missionaries Rev JH Lorrain (Pu Buanga) and Rev FW Savidge (Sap Upa) arrived in Mizoram. A memorial stone was created by TKP, Youth Association of Baptist Church of Mizoram.",https://mizoramtourism.com/post_images/62b883295ebb9_Missionary Kai Tlabung.jpg,,,
India,Mizoram,Lunglei,Tlabung Post Office,Heritage,"Heritage, History","Tlabung Post Office is the first Post Office in Mizoram, established 150 years ago. Located in a bustling town near the Indo-Bangladesh border, it serves as the main trade route between the two countries at the local level. Accessible from Aizawl via Lunglei within 9 hours by car. Accommodation available at Tourist Lodge, Forest IB, PWD IB, and private lodges.",https://mizoramtourism.com/post_images/62b86aa268f2e_Tlabung Post Office.jpg,,,
India,Mizoram,Lunglei,Tlabung Police Station,Heritage,"Heritage, History","Tlabung Police Station was constructed by the British and established in 1889. Located at the South-Western edge of Lunglei District close to the Indo-Bangladesh Border, the station sits atop a hill accessible by an uphill road from Tlabung town center. It is recognized as the oldest Police Station Building in Mizoram.",https://mizoramtourism.com/post_images/62b86b301d131_Tlabung Police Station.jpeg,,,
India,Mizoram,Lunglei,Tlabung Hospital,Heritage,"Heritage, History","Tlabung Hospital was established in 1872 and is considered the oldest hospital in Mizoram. Located 250.1 km from Aizawl with an altitude of 61 meters, it sits approximately 1.4 km from the nearest tourist lodge and is about 20 minutes away on foot.",https://mizoramtourism.com/post_images/62b889d828e0b_Tlabung Hospital.jpg,,,
India,Mizoram,Lunglei,Tlabung Bungalow,Heritage,"Heritage, History, Architecture","A 145-year-old heritage building established in 1871 by Tom Herbert Lewin's men, Tlabung Bungalow served as Mizoram's first Inspection Bungalow. Constructed using wood, bamboo, zinc, plate-glass, and stone, it remains a sought-after tourist lodge. Despite being handed to the Public Work Department, it continues attracting visitors who prefer this historic structure over newer cottages. The Young Mizo Association recently installed a granite marker commemorating its establishment and other heritage buildings.",https://mizoramtourism.com/post_images/62b873480a165_Tlabung Bungalow.jpg,,,
India,Mizoram,Lunglei,Lungding Rualalung,Rock Formation,"Nature, Adventure","Blessed with natural beauty and unlimited adventure, Mizoram never ceases to amaze with geological marvels such as Lungding in Rualalung, Lunglei District.",https://mizoramtourism.com/post_images/62ade4ed75133_Lungding Rualalung.jpg,,,
India,Mizoram,Lunglei,Lung Milem Mualcheng South,Heritage,"Heritage, Adventure, Mystery","Stone figures in meditational Buddhist poses located on a rocky portion of Tawikhawthlir hill near South Mualcheng village, approximately 65 km south of Lunglei. It is not known as to who created them and remains a mystery till date since no other relics of Buddhism is found elsewhere in the state.",https://mizoramtourism.com/post_images/62b86db2b3c55_Lung Milem.jpg,,,
India,Mizoram,Lunglei,Khawlung Wildlife Sanctuary,Wildlife,"Wildlife, Nature, Photography","Khawnglung is situated approximately 160 km from Aizawl. The sanctuary features steep cliff formations that have historically provided natural shelter for humans and wildlife. It hosts diverse flora and fauna including wild boar, gibbon, barking deer, sambar deer, hoolock, and leopard. Optimal visitation period spans October through March, requiring coordination with the Department of Environment and Forest, Mizoram. Adjacent villages include Pangzawl, Rawpui, Bungtlang, Sialsir, Lungchhuan, and Chawngtui.",https://mizoramtourism.com/post_images/62b88a8250946_Khawnglung WL Sanctuary.jpg,,,
India,Mizoram,Lunglei,Darkhuang Tlang Pukpui,Heritage,"Heritage, Religion, History","Darkhuang Tlang, or 'Gong Mountain,' is located in Pukpui village about 7 km from Lunglei. This site is historically significant as the place where Darphawka, a 19th-century Mizo prophet, claimed to communicate with spirits and received visions of future events, including the arrival of Christian missionaries. A prayer house has been constructed on the peak for visitors. Recently, skeletal remains were recovered and collected for forensic analysis and carbon dating.",https://mizoramtourism.com/post_images/62b88bfa025cd_Darkhuang Tlang Pukpui.jpg,,,
India,Mizoram,Lunglei,Kristian Hmasate Thlanmual,Heritage,"Heritage, Religion, History","A cemetery of early Christians situated at Theiriat village near Lunglei. Before pioneer missionaries arrived, Sehan Roy evangelised Mizo labourers, converting 40 families by 1900. These harassed converts established a Christian village in Theiriat. Their gravestones bear Bible verse quotations and inscriptions in English, representing early Christian heritage in Mizoram.",https://mizoramtourism.com/post_images/62b898055db23_Kristian hmasate Theiriat.jpg,,,
India,Mizoram,Lunglei,Phunhnawma Lung,Rock Formation,"Nature, Adventure, Photography, Legend","Phunhnawma Lung Lungpuitlang, literally 'Phunhnawma's Rock', is located in Lungpuitlang village, 106 km east of Lunglei near the Myanmar border. This large rock measures approximately 60 metres with a height of roughly 26.60 metres. Situated atop a breezy hill at 5058 ft altitude, it offers panoramic views of surrounding hill ranges including western Myanmar. According to local legend, the rock was discovered during a hunting trip by Phunhnawma, chief of Cheural village. Upon arrival, fairy guardians instructed him to return home, bring a cock as an offering, and in exchange they would bless him with abundant wild animals to hunt. He complied, and the fairies fulfilled their promise, establishing his reputation as a great hunter.",https://mizoramtourism.com/post_images/62b8966a0ea60_Phunhnawma Lung.jpg,,,
India,Mizoram,Lunglei,Sairep Tlang,Mountain,"Nature, Adventure, Photography",A sprawling mountain near Lunglei with rich diversity in nature and culture that attracts many tourists. One of the most fascinating sites in the District.,https://mizoramtourism.com/post_images/62b895e0a2d67_Sairep Tlang.jpg,,,
India,Mizoram,Lunglei,Kau Tlabung - Thenhlum,Waterfall,"Nature, Adventure","Kau Tlabung Falls is a tourist attraction located in Thenhlum, Serchhip District, Mizoram. The page provides basic information about the location with an altitude of 100 meters, situated approximately 165.4 km from Aizawl and 109.4 km from the nearest tourist lodge. The site requires approximately 1560 minutes of walking distance to access.",https://mizoramtourism.com/post_images/62b89a4fa74c7_Kau Tlabung Thenhlum.jpg,,,
India,Mizoram,Siaha,Pioneer Missionary Bungalow,Heritage,"Heritage, History, Religion","A century-old villa constructed in 1914 by Christian Missionaries, located in Serkawr between Tuipang and Kaladan, 288 km from Aizawl. The site represents a pioneering Baptist missionary settlement where J Herbert Lorraine and F.W Savidge first arrived in 1907 to preach the gospel. The property features preserved century-old furniture, furnishings, and decorative items. The current resident, Mrs. Violet Lorrain Foxall (granddaughter of J Herbert Lorrain), lives here with her family and welcomes visitors.",https://mizoramtourism.com/post_images/626be2cf9bb37_Serkawr.jpg,,,
India,Mizoram,Siaha,Pala Tipo - Palak Lake,Lake,"Nature, Wildlife, Photography, Adventure","Palak Dil or Palak Lake is the largest natural lake in Mizoram situated near Phura in the southern part of the state. Oval in shape, it covers about 1 sq.km and is surrounded by lush virgin forests rich in flora and fauna. The lake features a rich legend about its origin involving a village, a serpent, and magical flooding. Nature enthusiasts are drawn to the area for its wildlife variety, including wetland birds, hill birds, migrating Pintail Ducks, and elephants in surrounding forests. A jeepable road connects Palak Lake from Phura while efforts maintain its pristine environmental state.",https://mizoramtourism.com/post_images/626bcbb798560_Palak.jpg,https://mizoramtourism.com/post_images/626bdb1307952_Palak lake.jpg,https://mizoramtourism.com/post_images/626bdb1b5a442_PALAK lake 2.jpg,https://mizoramtourism.com/post_images/626bdb1d90c63_PALAK lake 3.jpg
India,Mizoram,Siaha,Tokalo Wildlife Sanctuary,Wildlife,"Wildlife, Nature, Photography, Hiking","The Tokalo Wildlife Sanctuary is the second largest wildlife reserve in Mizoram, located in Siaha district covering approximately 250 sq. km. Declared a sanctuary in 2007 and managed by the Environment and Forest Department of the Mara Autonomous District Council, it features Moist Deciduous and Semi-evergreen Forest ecosystems. The sanctuary hosts diverse mammals, birds, amphibians, reptiles, and is particularly noted for its butterfly variety. Accessible from Phura via private vehicles and local buses, the optimal visiting period runs from October through April.",https://mizoramtourism.com/post_images/62b89c7bd7643_Tokalo WL Sanctuary.jpg,,,
India,Mizoram,Siaha,Castle Beino/Bawinu,Rock Formation,"Nature, Adventure, Photography, Wildlife","The Castle of Beino (also called Bawinu) is described as 'a lesser-explored grand canyon of Northeast India' formed by the Kolodyne/Kaladan river. The geological formation features rock structures resembling castle quarters, including sections that look like soldiers at the entrance, a kitchen, and a great hall. The crystalline river water creates reflections of the formations. Best visited February to May; motorboats and local guides available. The area supports wildlife and bird watching. Access via Saphaw village (boat journey from Lomasu), reached through Lungdar or Taidang.",https://mizoramtourism.com/post_images/626bcd981143c_Beino-Caslte-(1).jpg,,,
India,Mizoram,Siaha,Mount Mawma Ecological Park,Park,"Nature, Hiking, Adventure, Photography, Wildlife","Mount Mawma Ecological Park is located in Chakhei Village of Siaha District, standing at 6,725 feet. It is the third highest peak in Northeast India and offers a unique vantage point where three countries are visible on clear winter days: Myanmar, Mizoram, and Bangladesh. The park features brick trekking paths, multiple rest points, a suspension bridge, and a watch tower. Seasonal flowering trees including rhododendron and cherry blossoms enhance the natural beauty.",https://mizoramtourism.com/post_images/68bea48e6796f_WhatsApp Image 2024-11-09 at 23.20.41_9f10ca50.jpg,https://mizoramtourism.com/post_images/68bea48e84c87_WhatsApp Image 2024-11-09 at 23.20.41_96265db0.jpg,https://mizoramtourism.com/post_images/68bea48ed8233_WhatsApp Image 2024-09-08 at 13.25.01_36cfdc80.jpg,https://mizoramtourism.com/post_images/68beaa44e461e_WhatsApp Image 2024-11-09 at 23.20.30_b38c720b.jpg
India,Mizoram,Champhai,Thasiama Se No Neihna,Rock Formation,"Nature, Adventure, Hiking, Legend","A rocky mound with flat top and sheer sides located near Vaphai village close to the Myanmar border. Legend tells of Thasiama, a man of extraordinarily long life, whose pregnant mithun (cow) mysteriously appeared atop this rocky formation. The name translates to 'a place where Thasiama's mithun gave birth to a calf.' Local accounts mention traces of an ancient village and overgrown pathways leading toward Myanmar in the surrounding dense vegetation.",https://mizoramtourism.com/post_images/626b90fb4c7db_Thasiama Se No Neihna 3.jpg,https://mizoramtourism.com/post_images/626b90fd9270e_Thasiama Seno Neihna 1.jpg,https://mizoramtourism.com/post_images/626b90ff3a399_Thasiama Seo Neihna.jpg,
India,Mizoram,Champhai,Lianchhiari Lunglen Tlang,Viewpoint,"Nature, Photography, Legend, Adventure","A rocky ledge situated at Dungtlang village, about 56 kilometers from Champhai, commanding views of surrounding hills. Named after Lianchhiari, daughter of chief Vanhnuaithanga, who sat here watching the distant village where her lover Chawngfianga had migrated after their planned marriage was thwarted by a jealous go-between. She spent days composing sorrowful love songs while gazing toward Chhingzawl village.",https://mizoramtourism.com/post_images/626b93865d4c6_Lianchhiari lunglen Tlang 1.jpg,https://mizoramtourism.com/post_images/626b938717700_Lianchhiari lunglen Tlang.jpg,,
India,Mizoram,Champhai,Champhai,Town,"Nature, Photography, Travel","Champhai is a fascinating hill town on the eastern side of Mizoram, magical year-round with enhanced charm during winter when temperatures fall below freezing. The destination features rolling hills and beautiful valleys, making it worth visiting.",https://mizoramtourism.com/post_images/62addaa694e9f_Champhai%20Zawl.jpg,,,
India,Mizoram,Champhai,Mura Puk,Cave,"Nature, Adventure, Legend","MURA PUK (Mura Caves) located at the outskirts of Zote village near Champhai, Mizoram. According to legend, these caves served as refuge from a monstrous eagle called 'Mura'. Originally seven caves existed when Zote village was resettled in 1899; only four survive today. The mythical creature was described as ferocious with talons as large as female mithun horns. People fled to these stone-doored caves when Mura attacked settlements.",https://mizoramtourism.com/post_images/62b86774ad3a5_Mura Puk.jpg,,,
India,Mizoram,Champhai,Mangkhaia Lung,Heritage,"Heritage, Photography","Mangkhai Lung is located in Zotlang East, Champhai. A monolith site with minimal descriptive information available.",https://mizoramtourism.com/post_images/62b85fc08f24b_Mangkhaia Lung.jpg,,,
India,Mizoram,Champhai,Murlen National Park,Park,"Nature, Wildlife, Photography, Hiking","Murlen National Park, situated near the Indo-Myanmar border in Champhai District approximately 245 km from Aizawl, is recognized as one of the few remaining sanctuaries for the state bird, Vavu (Mrs Hume's Pheasant). The park encompasses 100 square kilometers of pristine forests, featuring subtropical evergreen and sub-montane forest ecosystems that harbor diverse mammals and bird species. Notable geological features include sheer rocky cliffs with honeycomb formations inhabited by swifts and swallows. The park is particularly suited for bird-watching activities, with optimal visiting conditions from October through May. Access requires coordination with the Department of Environment and Forest.",https://mizoramtourism.com/post_images/626b998f1ed0d_Crested Serpent Eagle in Murlen.jpg,,,
India,Mizoram,Champhai,Lamsial Puk,Cave,"Heritage, Adventure, History","Located near Farkawn village on a rockface, this cave contains human skulls and bones, estimated to be about three hundred years old, along with pieces of traditional shawls. While the precise identities and reasons for their placement remain unexplained, it is commonly assumed they were left by people of the erstwhile Lamsial village when Mizos settled in this area after crossing the Tiau river bordering Myanmar.",https://mizoramtourism.com/post_images/626be3e95d841_Lamsial%20Puk.jpg,,,
India,Mizoram,Champhai,Kungawrhi Puk,Cave,"Adventure, Nature, Legend","Kungawrhi Puk is one of the most significant and largest caves in Mizoram, located on hills between Farkawn and Vaphai villages in Champhai district. According to legend, spirits once confined a beautiful girl named Kungawrhi in these caves. Her betrothed, Pnathira, bravely fought the spirits and freed her. The cave was named after this girl. Visitors can reach Kungawrhi Puk by hiring a tourist vehicle from Champhai town.",https://mizoramtourism.com/post_images/62b8716385b77_Kungawrhi Puk.jpg,,,
India,Mizoram,Champhai,Tan Tlang,Mountain,"Nature, Adventure, Photography","A legendary peak featuring interesting Mizo folk tales and songs, situated at the junction of three villages: Vaphai, Chawngtui, and Farkawn. Elevation is 6,356 feet above sea level, near Vaphai village.",https://mizoramtourism.com/post_images/62b88571ab650_Tan Tlang1.jpg,https://mizoramtourism.com/post_images/62b88571d7008_Tan Tlang2.jpg,,
India,Mizoram,Champhai,Samthang Zopui Phul,Park,"Nature, Photography, Travel",Samthang Zopui Phul is a tourist destination developed under NEC funding by the Deputy Commissioner of Champhai District. It offers a perfect setting for day excursion and weekend getaway with friends and families.,https://mizoramtourism.com/post_images/62b87285c1860_Zopui Phul Samthang.jpg,,,
India,Mizoram,Champhai,Hlakungpui Mual,Museum,"Heritage, Culture","Mizo Hlakungpui Mual is a monument commemorating great Mizo poets, established in 1986 at Khawbung village's southern edge. The site features monuments erected at 10-year intervals honoring laureate poets and writers. It includes an orchid park and museum preserving the laureates' belongings. The initiative began in 1983 when Khawbung's YMA Executive Committee resolved to commemorate two poets. Aizawl is approximately 265 kilometers away.",https://mizoramtourism.com/post_images/626baee0070da_Hla%20kungpui%20mual.jpg,,,
India,Mizoram,Champhai,Kawtchhuah Ropui,Heritage,"Heritage, History, Photography","In the vicinity of Vangchhia, close to the Myanmar border, about 50 km south of Champhai, there are a large number of menhir stones erected in lines called Kawtchhuah Ropui or 'the great entranceway'. These commemoration stones, numbering 171 in total, feature embossed carvings of human beings and animals. The village was named after the Vangchhia clan, the earliest settlers, and these stones are attributed to them.",https://mizoramtourism.com/post_images/626b9cef76d94_Kawtchhuah Ropui.jpg,https://mizoramtourism.com/post_images/626b9daddd360_Kawtchhuah Ropui 1.jpg,,
India,Mizoram,Champhai,Monoliths - Lost City of Vangchhia,Heritage,"Heritage, History, Photography, Adventure","The lost city of Vangchhia is the largest necropolis site in the world, located in Champhai District near Khawbung Village. It features 171 ancient carved menhir stones that became Mizoram's first protected archaeological site in 2012. The site includes ancient graves and a 200-meter-long water pavilion, offering insights into a lost civilization. Distance from Aizawl is 250 kilometers.",https://mizoramtourism.com/post_images/626ba7a5d3a6e_Vangchhia Monoliths.jpg,https://mizoramtourism.com/post_images/626ba7aeb1365_Vangchhia Monoliths1.jpg,https://mizoramtourism.com/post_images/626ba7b98884c_Vangchhia Monoliths2.jpg,https://mizoramtourism.com/post_images/626ba7c246443_Vangchhia Monoliths3.jpg
India,Mizoram,Champhai,Lungphunlian,Heritage,"Heritage, History, Adventure","Located in Lungphunlian village in Champhai District, about 45 km north of Champhai town, this site features a large monolith measuring 13.5 ft in height, roughly 6.5 ft in breadth, and 2 ft in thickness -- possibly the largest of its kind in Mizoram. Without any engravings or carvings, its origins remain unclear, though it's generally believed to have been erected by nomadic Meitei people, supported by inscriptions on a nearby smaller stone. The site is accessible by local taxis and buses, attracting archaeological enthusiasts and tourists throughout the year.",https://mizoramtourism.com/post_images/62b8815f84b55_Lungphunlian.jpg,,,
India,Mizoram,Champhai,Lungphun Ropui Lianpui,Heritage,"Heritage, History, Photography","Lungphun ropui at Lianpui village in Champhai District, Mizoram is a cluster of megaliths in the eastern part of Mizoram.",https://mizoramtourism.com/post_images/62b8976e07574_Lungphun Ropui Lianpui.jpg,https://mizoramtourism.com/post_images/62b8976e3bcaf_Lungphun Ropui2.jpg,,
India,Mizoram,Kolasib,Serlui B Lake,Lake,"Nature, Photography, Adventure, Fishing","The picturesque Serlui lake is located about an hour drive from Kolasib Town and is a perfect weekend destination. Formed with the construction of the dam of the Serlui Hydel Project, the riverine lake extends upriver and meanders through the valley of River Serlui, spreading out into wide pools at many points in the midst of thick forests and coursing between lush-green hills. The 53 km long inundation of the valley can be seen even from the NH-54. The Department of Tourism has developed an accommodation infrastructure which is expected to be commissioned shortly. Plans are also being drawn for development of water sport facilities and Eco-Tourism center. The Department of Tourism has also developed a Pisciculture center using the dam as its base.",https://mizoramtourism.com/post_images/626bc6afa662b_Serlui B 1.jpg,https://mizoramtourism.com/post_images/626bc6b15c736_Serlui B 2.jpg,https://mizoramtourism.com/post_images/626bc6b329c36_Serlui B Lodge.jpg,
